source,system_time,msg_time,x,y,theta,v,omega,ax
mag_raw,1775706384.725506,1775118113.0282667,0.0,0.0,0.052256181582332195,0.0,0.0,0.0
enc,1775706384.7257118,1775118113.0752668,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.7257884,1775118113.2152667,0.0,0.0,0.006145430565314714,0.0,-0.009321348280251706,-0.10055953856013672
mag_raw,1775706384.7258525,1775118113.0672667,0.0,0.0,0.052256181582332195,0.0,0.0,0.0
enc,1775706384.726039,1775118113.1282668,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706384.726112,1775118113.1072667,0.0,0.0,0.009749240249137148,0.0,0.0,0.0
enc,1775706384.7262948,1775118113.1562667,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706384.7263532,1775118113.1462667,0.0,0.0,0.002048125815580004,0.0,0.0,0.0
enc,1775706384.7265508,1775118113.2092667,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706384.7266195,1775118113.1862667,0.0,0.0,0.002048125815580004,0.0,0.0,0.0
enc,1775706384.7267985,1775118113.2372668,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706384.7268562,1775118113.2252667,0.0,0.0,0.002048125815580004,0.0,0.0,0.0
odom,1775706384.7287154,1775118112.9782667,-1.6265248709608284e-18,1.150043300266157e-17,-0.007281162768295155,3.130153057072416e-18,0.0055895739292072,0.0
odom,1775706384.748205,1775118112.9942665,-4.0435371509830636e-18,1.130772922477704e-17,-0.006166555497013171,5.2578902371914836e-18,0.005482087317882517,0.0
odom,1775706384.768417,1775118113.0282667,-3.959448544316869e-18,9.342098173280522e-18,-0.005101096137328117,4.754874527971634e-18,0.003601788649505747,0.0
odom,1775706384.7885687,1775118113.0472667,-3.405231440717584e-18,8.38531706806887e-18,-0.004253025944719546,7.935155882216016e-18,0.0010001626285283073,0.0
odom,1775706384.808221,1775118113.0672667,-3.439198087775925e-19,7.415558577158706e-18,-0.003440456794352897,2.800297033602183e-18,0.0004741586495719042,0.0
odom,1775706384.8290489,1775118113.1072667,-1.2425295326008113e-18,8.708793442262667e-18,-0.0030152323623195976,3.342536793353192e-18,0.002828881974481835,0.0
imu_raw,1775706384.8417435,1775118113.2542667,0.0,0.0,0.007184096002323036,0.0,0.026632423657862017,0.12450228583635975
enc,1775706384.8423896,1775118113.2902668,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.8424761,1775118113.2942667,0.0,0.0,0.007226707839537762,0.0,0.0010652969463144806,0.047885494552446055
mag_raw,1775706384.8425622,1775118113.3042667,0.0,0.0,-0.0005340531252046588,0.0,0.0,0.0
enc,1775706384.8428257,1775118113.3182669,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.842916,1775118113.3332667,0.0,0.0,0.007081294678356597,0.0,-0.0037285393121006824,0.057462593462935266
mag_raw,1775706384.8429766,1775118113.4082668,0.0,0.0,0.011121140337148117,0.0,0.0,0.0
enc,1775706384.8432007,1775118113.4262667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.8432837,1775118113.4372668,0.0,0.0,0.011651422601193213,0.0,0.04394349903547232,-0.10055953856013672
mag_raw,1775706384.8433428,1775118113.4462667,0.0,0.0,0.027284157193365466,0.0,0.0,0.0
enc,1775706384.843566,1775118113.4542668,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706384.8436303,1775118113.5142667,0.0,0.0,0.01181547812367259,0.0,0.0021305938926289613,-0.062251142918179875
mag_raw,1775706384.8436816,1775118113.4852667,0.0,0.0,0.0023189922559676,0.0,0.0,0.0
enc,1775706384.8438528,1775118113.5072668,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706384.8439023,1775118113.5232668,0.0,0.0,0.0023189922559676,0.0,0.0,0.0
enc,1775706384.8444674,1775118113.5352669,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706384.8478377,1775118113.1282668,-1.589583247953771e-18,7.445950161384005e-18,-0.002646210113790296,3.653245556901848e-18,0.005803409993330513,0.0
ekf_slam,1775706384.915965,1775118113.1730797,-1.2649923182941788e-12,-3.3379446527879986e-13,0.001049897363103458,0.0,0.0,0.0
odom,1775706384.9164667,1775118113.1462667,-9.964558031314145e-19,8.245652381348439e-18,-0.002347342543488118,2.0917127641450812e-18,0.0064568501035450095,0.0
